name,description,price,category_name,image_filename,available
Skewer Mix Bowl,,0,Bowls,Skewer-Mix-Bowl.jpg,TRUE
Fajita Sandwich,,0,Sandwiches,Fajita-Sandwhich.jpg,TRUE
Beef Poutine,,0,Specials,Beef-Poutine.jpg,TRUE
Beef Shawarma Bowl,,0,Bowls,Beef-Shawarma-Bowl.jpg,TRUE
Chicken Shawarma Bowl,,0,Bowls,Chicken-Shawarma-Bowl.jpg,TRUE
Kafta Skewers Bowl,,0,Bowls,Kafta-Skewers-Bowl.jpg,TRUE
Chicken Skewers,,0,Skewers,Chicken-Skewers.jpg,TRUE
Vegan Skewers,,0,Skewers,Vegan-Skewers.jpg,TRUE
Beef Skewers,,0,Skewers,Beef-Skewers.jpg,TRUE
Kafta Skewers,,0,Skewers,Kafta-Skewers.jpg,TRUE
Shawarma Bowl Mix,,0,Bowls,Shawarma-Bowl-Mix.jpg,TRUE
Shawarma Sushi,,0,Specials,Shawarma-Sushi.jpg,TRUE
Philly Steak Sandwich,,0,Sandwiches,Philly-Steak-Sandwhich.jpg,TRUE
Mandi Bowl,,0,Bowls,Mandi-Bowl.jpg,TRUE
Shawarma Burger,,0,Burgers,Shawarma-Burger.jpg,TRUE
Chicken Shawarma,,0,Sandwiches,Chicken-Shawarma.jpg,TRUE
Falafel Bowl,,0,Bowls,Falafel-Bowl.jpg,TRUE
Beef Shawarma,,0,Sandwiches,Beef-Shawarma.jpg,TRUE
